                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1652,                 0.6774,                 1.1878,                0.87604,                0.87695,                0.90534,                0.55091,                 1.1238,                0.86312,                 1.1766,              0.0033271,              0.0033271,              0.0033271
                      2,                 1.2077,                0.70722,                 1.2005,                0.86269,                0.88443,                0.90405,                0.54439,                 1.1504,                0.85629,                  1.202,              0.0066385,              0.0066385,              0.0066385
                      3,                 1.2399,                0.74642,                 1.2246,                0.85066,                0.87383,                0.88466,                0.51692,                 1.1986,                 1.0258,                 1.2429,              0.0099278,              0.0099278,              0.0099278
                      4,                 1.3118,                0.81644,                 1.2581,                 0.8475,                0.87507,                0.88341,                0.52024,                 1.1474,                 1.0414,                 1.1968,               0.009901,               0.009901,               0.009901
                      5,                 1.3111,                0.82415,                 1.2627,                0.82321,                0.86861,                0.87785,                0.51316,                 1.1747,                0.84035,                  1.211,               0.009901,               0.009901,               0.009901
                      6,                 1.3112,                 0.8246,                 1.2663,                0.84897,                0.87174,                0.87811,                0.51084,                 1.1685,                 1.0303,                  1.204,               0.009868,               0.009868,               0.009868
                      7,                 1.3255,                0.82922,                 1.2653,                0.82732,                0.87696,                 0.8795,                0.51407,                 1.1774,                0.88791,                 1.2199,               0.009835,               0.009835,               0.009835
                      8,                 1.3163,                0.82917,                 1.2629,                 0.8652,                0.85193,                0.89567,                0.49952,                 1.1951,                 0.9237,                 1.2079,               0.009802,               0.009802,               0.009802
                      9,                 1.3133,                0.82667,                 1.2681,                 0.8446,                0.86548,                0.88733,                0.50971,                 1.1935,                 1.1768,                 1.2211,               0.009769,               0.009769,               0.009769
                     10,                 1.3144,                0.82304,                 1.2665,                0.85754,                0.84254,                0.89057,                0.51735,                 1.1937,                0.99988,                 1.2145,               0.009736,               0.009736,               0.009736
                     11,                 1.3025,                 0.8127,                 1.2633,                0.86354,                0.83803,                0.88576,                0.50805,                 1.1783,                 1.4248,                 1.2268,               0.009703,               0.009703,               0.009703
